date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:32	1358/1358	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b96-620a353e4cf34%22	https://theme.madsparrow.me/robots.txt		(from )
08:53:33	58421/58421	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:32%20GMT	https://theme.madsparrow.me/most/?storefront=envato-elements	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/index04b9.html	(from )
08:53:34	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2011%20Sep%202024%2014:53:33%20GMT	https://theme.madsparrow.me/most/xmlrpc.php	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/xmlrpc.php	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:34	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22664f8c9d-b4e%22	https://theme.madsparrow.me/most/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.5	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/contact-form-7/includes/css/stylesd9cd.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:35	152277/152277	---MCZ	200	added ('OK')	text/css	etag:W/%2263ee0803-252d5%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/css/vendor/bootstrap.min.css?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/css/vendor/bootstrap.min3ba1.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:35	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2266677366-4057%22	https://theme.madsparrow.me/most/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:35	9147/9147	---MCZ	200	added ('OK')	text/css	etag:W/%2263ee0803-23bb%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/css/vendor/magnific-popup.css?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/css/vendor/magnific-popup3ba1.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:36	33431/33431	---MCZ	200	added ('OK')	text/css	etag:W/%2263ee0803-8297%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/css/vendor/plyr.css?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/css/vendor/plyr3ba1.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:36	36932/36932	---M-Z	200	added ('OK')	application/rss+xml	etag:%2262f88c946dd6c1c4725d80e958059688-gzip%22	https://theme.madsparrow.me/most/feed/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/feed/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:36	5126/5126	---M-Z	200	added ('OK')	application/rss+xml	etag:%2262f88c946dd6c1c4725d80e958059688-gzip%22	https://theme.madsparrow.me/most/comments/feed/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/comments/feed/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:36	103780/103780	---MCZ	200	added ('OK')	text/css	etag:W/%2263ee0803-19564%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/css/vendor/fontawesome.min.css?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/css/vendor/fontawesome.min3ba1.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:37	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%2266677366-4d42%22	https://theme.madsparrow.me/most/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:37	429615/429615	---MCZ	200	added ('OK')	text/css	etag:W/%2265f5a274-68e2f%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/css/main.css?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/css/main3ba1.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:37	118945/118945	---MCZ	200	added ('OK')	text/css	etag:W/%2266677366-1d0a1%22	https://theme.madsparrow.me/most/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.8	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/elementor/assets/css/frontend-lite.min3cad.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:37	1108/1108	---MCZ	200	added ('OK')	text/css	etag:W/%22662a7b7b-454%22	https://theme.madsparrow.me/most/wp-content/uploads/elementor/css/post-42.css?ver=1714060155	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/uploads/elementor/css/post-423bb8.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:37	4291/4291	---MCZ	200	added ('OK')	text/css	etag:W/%22662a7b82-10c3%22	https://theme.madsparrow.me/most/wp-content/uploads/elementor/css/post-782.css?ver=1714060162	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/uploads/elementor/css/post-7824ba3.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:38	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654adbc4-15601%22	https://theme.madsparrow.me/most/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-includes/js/jquery/jquery.minf43b.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:38	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d2e2c6-3509%22	https://theme.madsparrow.me/most/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:38	9636/9636	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266677376-25a4%22	https://theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.8.9.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minafa4.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:38	3058/3058	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266677376-bf2%22	https://theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=8.9.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min3b11.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:38	1720/1720	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266677376-6b8%22	https://theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.8.9.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min0e01.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:39	2467/2467	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266677376-9a3%22	https://theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=8.9.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min3b11.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:40	19390/19390	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Sep%202024%2014:53:39%20GMT	https://theme.madsparrow.me/most/wp-json/wp/v2/pages/782	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-json/wp/v2/pages/782.json	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:40	1191992/1191992	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Sep%202024%2014:53:39%20GMT	https://theme.madsparrow.me/most/wp-json/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-json/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:40	858/858	---M-Z	200	added ('OK')	text/xml	date:Wed,%2011%20Sep%202024%2014:53:39%20GMT	https://theme.madsparrow.me/most/xmlrpc.php?rsd	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/xmlrpc0db0.php	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:41	2153/2153	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Sep%202024%2014:53:40%20GMT	https://theme.madsparrow.me/most/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftheme.madsparrow.me%2Fmost%2F	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-json/oembed/1.0/embedc23b.json	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:41	58421/58421	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:40%20GMT	https://theme.madsparrow.me/most/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:42	2308/2308	---M-Z	200	added ('OK')	text/xml	date:Wed,%2011%20Sep%202024%2014:53:41%20GMT	https://theme.madsparrow.me/most/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftheme.madsparrow.me%2Fmost%2F&format=xml	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-json/oembed/1.0/embedecbf	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:42	2687/2687	---M--	200	added ('OK')	image/png	etag:%22632b328e-a7f%22	https://theme.madsparrow.me/most/wp-content/uploads/2022/09/m_favicon.png	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/uploads/2022/09/m_favicon.png	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:42	28385/28385	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632b31f8-6ee1%22	https://theme.madsparrow.me/most/wp-content/uploads/2022/09/most_logo1.svg	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/uploads/2022/09/most_logo1.svg	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:42	35231/35231	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226325f8b0-899f%22	https://theme.madsparrow.me/most/wp-content/uploads/2022/09/most_logo2_light.svg	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/uploads/2022/09/most_logo2_light.svg	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:44	39136/39136	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Sep%202024%2014:53:42%20GMT	https://theme.madsparrow.me/most/404	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/404	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:46	67491/67491	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:43%20GMT	https://theme.madsparrow.me/most/home-portfolio/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/home-portfolio/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:46	87468/87468	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:44%20GMT	https://theme.madsparrow.me/most/personal-portfolio/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/personal-portfolio/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:46	92493/92493	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:44%20GMT	https://theme.madsparrow.me/most/personal-cv/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/personal-cv/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:46	102228/102228	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:44%20GMT	https://theme.madsparrow.me/most/creative-agency/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/creative-agency/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:49	134446/134446	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:46%20GMT	https://theme.madsparrow.me/most/business-corporate/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/business-corporate/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:49	83106/83106	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:47%20GMT	https://theme.madsparrow.me/most/blog-default/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/blog-default/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:49	123876/123876	---M--	200	added ('OK')	image/jpeg	etag:%22635c2f08-1e3e4%22	https://theme.madsparrow.me/most/wp-content/uploads/2022/10/most_slide_3.jpg	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/uploads/2022/10/most_slide_3.jpg	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:49	196671/196671	---M--	200	added ('OK')	image/jpeg	etag:%22635c0cf1-3003f%22	https://theme.madsparrow.me/most/wp-content/uploads/2022/10/most_slide_1.jpg	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/uploads/2022/10/most_slide_1.jpg	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:49	12743/12743	---MCZ	200	added ('OK')	text/css	etag:W/%2266677376-31c7%22	https://theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-8.9.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocksb35e.css	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:50	11513/11513	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664f8c9d-2cf9%22	https://theme.madsparrow.me/most/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.9.5	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/contact-form-7/includes/swv/js/indexd9cd.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:50	73117/73117	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:49%20GMT	https://theme.madsparrow.me/most/blog-card/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/blog-card/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:50	13054/13054	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664f8c9d-32fe%22	https://theme.madsparrow.me/most/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.9.5	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/contact-form-7/includes/js/indexd9cd.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:50	14500/14500	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266677376-38a4%22	https://theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/sourcebuster/sourcebuster.min.js?ver=8.9.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/sourcebuster/sourcebuster.min3b11.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:51	83550/83550	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:49%20GMT	https://theme.madsparrow.me/most/blog-list/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/blog-list/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:51	2230/2230	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266677376-8b6%22	https://theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=8.9.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min3b11.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:51	84058/84058	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:49%20GMT	https://theme.madsparrow.me/most/blog-list-3/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/blog-list-3/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:51	5520/5520	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654adbc4-1590%22	https://theme.madsparrow.me/most/wp-includes/js/imagesloaded.min.js?ver=5.0.0	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-includes/js/imagesloaded.minbb93.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:51	14596/14596	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ee0826-3904%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/modernizr.js?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/modernizr3ba1.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:51	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ee0825-8a75%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/isotope.pkgd.min.js?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/isotope.pkgd.min3ba1.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:52	148471/148471	---MCZ	200	added ('OK')	application/javascript	etag:W/%226580748a-243f7%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/swiper-bundle.min.js?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/swiper-bundle.min3ba1.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:52	15456/15456	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ee0826-3c60%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/jarallax.min.js?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/jarallax.min3ba1.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:52	84203/84203	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2014:53:51%20GMT	https://theme.madsparrow.me/most/blog-list-2/	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/blog-list-2/index.html	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:52	17820/17820	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ee0825-459c%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/jarallax-video.min.js?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/jarallax-video.min3ba1.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
08:53:52	21350/21350	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ee0826-5366%22	https://theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/video-background.js?ver=1.3.3	C:/Users/k/Downloads/Juego/theme.madsparrow.me/most/wp-content/themes/most/assets/js/vendor/video-background3ba1.js	(from https://theme.madsparrow.me/most/?storefront=envato-elements)
